CON,HOAD Remarks,State,GSTIN of OWN,GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,Document Type
03AADCA2325A1ZP09AAACO4007A1Z38097515001,Carry Forward,Punjab,03AADCA2325A1ZP,09AAACO4007A1Z3,M/S ONE 97 COMMUNICATION LTD,8097515001,Regular,12/02/2025,177.00,Punjab,No,150.00,27.00,0.00,0.00,0.00,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000714,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000714,Regular,05/02/2025,"7,728",Chandigarh,No,"6,900",828,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000718,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000718,Regular,06/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000731,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000731,Regular,12/02/2025,"11,340",Chandigarh,No,"10,800",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000737,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000737,Regular,17/02/2025,"1,332.80",Chandigarh,No,"1,190",142.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000761,Carry Forward,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000761,Regular,28/02/2025,"15,365",Chandigarh,No,"14,500",865,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AAACH2702H3ZYMAP2505900464183,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AAACH2702H3ZY,HDFC BANK LIMITED,MAP2505900464183,Regular,28/02/2025,"46,052.28",Chandigarh,No,"39,027.36","7,024.92",0,0,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000892,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000892,Regular,10/02/2025,"12,600",Chandigarh,No,"12,000",600,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000898,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000898,Regular,11/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000900,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000900,Regular,12/02/2025,"28,875",Chandigarh,No,"27,500","1,375",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000905,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000905,Regular,14/02/2025,"1,287.50",Chandigarh,No,"1,250",37.50,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000936,Carry Forward,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000936,Regular,28/02/2025,"4,130",Chandigarh,No,"3,500",630,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001276,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001276,Regular,11/02/2025,"3,796.80",Chandigarh,No,"3,390",406.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001292,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001292,Regular,17/02/2025,"20,048",Chandigarh,No,"17,900","2,148",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001300,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001300,Regular,18/02/2025,"1,668.80",Chandigarh,No,"1,490",178.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001319,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001319,Regular,24/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001329,Carry Forward,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001329,Regular,27/02/2025,"2,116.80",Chandigarh,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1010001331,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001331,Regular,28/02/2025,"6,227.20",Chandigarh,No,"5,560",667.20,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN03AAACB0446L3Z02025203R00001987,Carry Forward,Chandigarh,04AADCA2325A1ZN,03AAACB0446L3Z0,BLUE DART EXPRESS LIMITED,2025203R00001987,Regular,28/02/2025,244.97,Chandigarh,No,207.60,37.37,0,0,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AAACB2894G1ZVHT2504I000251304,Carry Forward,Chandigarh,04AADCA2325A1ZN,04AAACB2894G1ZV,BHARTI AIRTEL LTD.,HT2504I000251304,Regular,03/02/2025,705.64,Chandigarh,No,598,0,53.82,53.82,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1004001659,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1004001659,Regular,05/02/2025,"7,728",Chandigarh,No,"6,900",828,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1004001701,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1004001701,Regular,15/02/2025,"2,004.80",Chandigarh,No,"1,790",214.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1004001748,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1004001748,Regular,27/02/2025,"3,024",Chandigarh,No,"2,700",324,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001382,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001382,Regular,09/02/2025,"7,593.60",Chandigarh,No,"6,780",813.60,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001414,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001414,Regular,18/02/2025,"2,452.80",Chandigarh,No,"2,190",262.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001421,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001421,Regular,19/02/2025,"36,400",Chandigarh,No,"32,500","3,900",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001453,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001453,Regular,26/02/2025,"2,116.80",Chandigarh,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001454,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001454,Regular,26/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF240TO1289001456,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1289001456,Regular,26/02/2025,"3,024",Chandigarh,No,"2,700",324,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068568,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068568,Regular,06/02/2025,"18,345.60",Chandigarh,No,"16,380","1,965.60",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068570,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068570,Regular,06/02/2025,"55,860",Chandigarh,No,"50,000","5,860",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068701,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068701,Regular,11/02/2025,"68,783.40",Chandigarh,No,"66,780","2,003.40",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068758,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068758,Regular,14/02/2025,"101,203.20",Chandigarh,No,"90,360","10,843.20",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068843,Matched,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068843,Regular,18/02/2025,"177,245.60",Chandigarh,No,"158,930","18,315.60",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72068951,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72068951,Regular,22/02/2025,"19,415.20",Chandigarh,No,"17,920","1,495.20",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72069022,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72069022,Regular,26/02/2025,"35,828.80",Chandigarh,No,"31,990","3,838.80",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AADCA2325A1ZF72069067,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AADCA2325A1ZF,HOUSE OF ANITA DONGRE PRIVATE LIMITED,72069067,Regular,28/02/2025,"29,030.40",Chandigarh,No,"26,170","2,860.40",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN19AADCA2325A1ZC240TO1011000719,Matched,Chandigarh,04AADCA2325A1ZN,19AADCA2325A1ZC,HOUSE OF ANITA DONGRE LIMITED,240TO1011000719,Regular,05/02/2025,"1,680",Chandigarh,No,"1,500",180,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN19AADCA2325A1ZC240TO1011000722,Matched,Chandigarh,04AADCA2325A1ZN,19AADCA2325A1ZC,HOUSE OF ANITA DONGRE LIMITED,240TO1011000722,Regular,06/02/2025,"10,395",Chandigarh,No,"9,900",495,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN19AADCA2325A1ZC240TO1011000730,Matched,Chandigarh,04AADCA2325A1ZN,19AADCA2325A1ZC,HOUSE OF ANITA DONGRE LIMITED,240TO1011000730,Regular,15/02/2025,"5,775",Chandigarh,No,"5,500",275,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN19AADCA2325A1ZC240TO1011000748,Matched,Chandigarh,04AADCA2325A1ZN,19AADCA2325A1ZC,HOUSE OF ANITA DONGRE LIMITED,240TO1011000748,Regular,24/02/2025,"16,800",Chandigarh,No,"15,000","1,800",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN19AADCA2325A1ZC240TO1011000749,Matched,Chandigarh,04AADCA2325A1ZN,19AADCA2325A1ZC,HOUSE OF ANITA DONGRE LIMITED,240TO1011000749,Regular,24/02/2025,"2,912",Chandigarh,No,"2,600",312,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AVAPM3971F1ZQ2024-25/612,Matched,Chandigarh,04AADCA2325A1ZN,24AVAPM3971F1ZQ,GIS PEST MANAGEMENT SERVICE,2024-25/612,Regular,20/02/2025,"2,562",Chandigarh,No,"2,171",390.78,0,0,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000709,Matched,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000709,Regular,05/02/2025,"7,728",Chandigarh,No,"6,900",828,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000743,Matched,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000743,Regular,22/02/2025,"4,020.80",Chandigarh,No,"3,590",430.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000745,Matched,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000745,Regular,22/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000747,Matched,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000747,Regular,24/02/2025,"5,588.80",Chandigarh,No,"4,990",598.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000749,Matched,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000749,Regular,24/02/2025,"2,116.80",Chandigarh,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN06AADCA2325A1ZJ240TO1002000754,Carry Forward,Chandigarh,04AADCA2325A1ZN,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000754,Regular,27/02/2025,"3,920",Chandigarh,No,"3,500",420,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AACCC8021G1Z524250401112107,Matched,Chandigarh,04AADCA2325A1ZN,04AACCC8021G1Z5,CSJ INFRASTRUCTURE PVT LTD,24250401112107,Regular,01/02/2025,"5,900",Chandigarh,No,"5,000",0,450,450,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AACCC8021G1Z524250401112308,Matched,Chandigarh,04AADCA2325A1ZN,04AACCC8021G1Z5,CSJ INFRASTRUCTURE PVT LTD,24250401112308,Regular,01/02/2025,"144,141.85",Chandigarh,No,"122,153.85",0,"10,994","10,994",0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AACCC8021G1Z524250401112530,Matched,Chandigarh,04AADCA2325A1ZN,04AACCC8021G1Z5,CSJ INFRASTRUCTURE PVT LTD,24250401112530,Regular,01/02/2025,"782,956",Chandigarh,No,"663,522",0,"59,717","59,717",0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AACCC8021G1Z524250401112886,Matched,Chandigarh,04AADCA2325A1ZN,04AACCC8021G1Z5,CSJ INFRASTRUCTURE PVT LTD,24250401112886,Regular,28/02/2025,"3,821.36",Chandigarh,No,"3,237.36",0,292,292,0,Feb'25,10/03/2025,Yes,,100%,E-Invoice,fc5ccecdc03a8c5e92055d5ee8ada6d8d287437d059ca6185b47297b7e4025b3,28/02/2025,Invoice
04AADCA2325A1ZN04AAACB0446L1Z02025204R00000453,Carry Forward,Chandigarh,04AADCA2325A1ZN,04AAACB0446L1Z0,BLUE DART EXPRESS LIMITED,2025204R00000453,Regular,28/02/2025,"5,278.97",Chandigarh,No,"4,473.71",0,402.63,402.63,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN04AAACB0446L1Z02025204R00000454,Carry Forward,Chandigarh,04AADCA2325A1ZN,04AAACB0446L1Z0,BLUE DART EXPRESS LIMITED,2025204R00000454,Regular,28/02/2025,"19,938.73",Chandigarh,No,"16,897.23",0,"1,520.75","1,520.75",0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ24AADCA2325A1ZL240TO1296000727,Matched,Haryana,06AADCA2325A1ZJ,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000727,Regular,11/02/2025,"1,534",Haryana,No,"1,300",234,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ24AADCA2325A1ZL240TO1296000747,Matched,Haryana,06AADCA2325A1ZJ,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000747,Regular,21/02/2025,"3,675",Haryana,No,"3,500",175,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ24AADCA2325A1ZL240TO1296000759,Carry Forward,Haryana,06AADCA2325A1ZJ,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000759,Regular,27/02/2025,525,Haryana,No,500,25,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000878,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000878,Regular,02/02/2025,"3,796.80",Haryana,No,"3,390",406.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000887,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000887,Regular,06/02/2025,"5,600",Haryana,No,"5,000",600,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000891,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000891,Regular,07/02/2025,"12,398.40",Haryana,No,"11,070","1,328.40",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000893,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000893,Regular,10/02/2025,"2,576",Haryana,No,"2,300",276,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000896,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000896,Regular,11/02/2025,"10,371.20",Haryana,No,"9,260","1,111.20",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000901,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000901,Regular,12/02/2025,"2,116.80",Haryana,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000912,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000912,Regular,17/02/2025,"5,040",Haryana,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000921,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000921,Regular,20/02/2025,"3,124.80",Haryana,No,"2,790",334.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000929,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000929,Regular,24/02/2025,"1,780.80",Haryana,No,"1,590",190.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1006000932,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000932,Regular,27/02/2025,"2,753.80",Haryana,No,"2,490",263.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001247,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001247,Regular,06/02/2025,"3,796.80",Haryana,No,"3,390",406.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001255,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001255,Regular,06/02/2025,"5,689.60",Haryana,No,"5,080",609.60,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001256,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001256,Regular,06/02/2025,"5,040",Haryana,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001257,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001257,Regular,06/02/2025,"3,920",Haryana,No,"3,500",420,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001259,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001259,Regular,06/02/2025,"8,624",Haryana,No,"7,700",924,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001262,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001262,Regular,06/02/2025,"6,944",Haryana,No,"6,200",744,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001266,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001266,Regular,08/02/2025,"2,214.50",Haryana,No,"2,150",64.50,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001267,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001267,Regular,08/02/2025,"5,588.80",Haryana,No,"4,990",598.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001272,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001272,Regular,10/02/2025,"6,272",Haryana,No,"5,600",672,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001277,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001277,Regular,11/02/2025,"8,265.60",Haryana,No,"7,380",885.60,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
06AADCA2325A1ZJ07AADCA2325A1ZH240TO1010001281,Matched,Haryana,06AADCA2325A1ZJ,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001281,Regular,13/02/2025,"3,012.80",Haryana,No,"2,690",322.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
